	Team	Number	Name	Goal	GPG	Assist	APG	Block	BPG	Turn	TPG	Games	Tournament	Spirit	Team_Num
0	FURY	4	ALEX SNYDER	3	0.25	32	2.66666666667					12	2012 WUGC	12.0	0
1	FURY	19	GEORGIA BOSSCHER	13	1.08333333333	14	1.16666666667					12	2012 WUGC	12.0	0
2	FURY	7	KAELA JORGENSON	12	1.0	10	0.833333333333					12	2012 WUGC	12.0	0
3	FURY	13	CREE HOWARD	15	1.25	6	0.5					12	2012 WUGC	12.0	0
4	FURY	26	ALICIA WHITE	16	1.33333333333	2	0.166666666667					12	2012 WUGC	12.0	0
5	FURY	66	LAKSHMI NARAYAN	5	0.416666666667	13	1.08333333333					12	2012 WUGC	12.0	0
6	FURY	77	CAROLYN FINNEY	6	0.5	10	0.833333333333					12	2012 WUGC	12.0	0
7	FURY	5	EMILY DAMON	7	0.583333333333	8	0.666666666667					12	2012 WUGC	12.0	0
8	FURY	27	NESS FAJARDO	0	0.0	15	1.25					12	2012 WUGC	12.0	0
9	FURY	21	CLAIRE SHARMAN	14	1.16666666667	0	0.0					12	2012 WUGC	12.0	0
10	FURY	44	MAGGIE RUDEN	12	1.0	2	0.166666666667					12	2012 WUGC	12.0	0
11	FURY	14	LIZ PENNY	9	0.75	5	0.416666666667					12	2012 WUGC	12.0	0
12	FURY	11	LAUREN CASEY	7	0.583333333333	7	0.583333333333					12	2012 WUGC	12.0	0
13	FURY	8	NANCY SUN	1	0.0833333333333	13	1.08333333333					12	2012 WUGC	12.0	0
14	FURY	71	MANISHA DARYANI	8	0.666666666667	5	0.416666666667					12	2012 WUGC	12.0	0
15	FURY	33	ANNA NAZAROV	4	0.333333333333	8	0.666666666667					12	2012 WUGC	12.0	0
16	FURY	18	JULIA SHERWOOD	3	0.25	9	0.75					12	2012 WUGC	12.0	0
17	FURY	41	YELENA GORLIN	7	0.583333333333	3	0.25					12	2012 WUGC	12.0	0
18	FURY	42	DARRAGH CLANCY	7	0.583333333333	3	0.25					12	2012 WUGC	12.0	0
19	FURY	12	KRISTIE BOWEN	5	0.416666666667	5	0.416666666667					12	2012 WUGC	12.0	0
20	FURY	15	ALDEN FLETCHER	8	0.666666666667	1	0.0833333333333					12	2012 WUGC	12.0	0
21	FURY	2	NICKY BLOOM	6	0.5	3	0.25					12	2012 WUGC	12.0	0
22	FURY	10	GENEVIEVE LAROCHE	4	0.333333333333	5	0.416666666667					12	2012 WUGC	12.0	0
23	FURY	51	CLAIRE DESMOND	4	0.333333333333	5	0.416666666667					12	2012 WUGC	12.0	0
24	FURY	23	MEGAN SCHOELLHAMER	4	0.333333333333	3	0.25					12	2012 WUGC	12.0	0
25	FURY	20	ABBY CHRISTOPHER	3	0.25	3	0.25					12	2012 WUGC	12.0	0
26	FURY	6	ALICIA DANTZKER	5	0.416666666667	0	0.0					12	2012 WUGC	12.0	0
27	FURY	3	CASTLE SINICROPE	4	0.333333333333	1	0.0833333333333					12	2012 WUGC	12.0	0
28	BENT	0	BRITTANY KAPLAN	0	0.0	3	0.5	2.0	0.333333333333	5.0	0.833333333333	6	2013 USAU Club Championships	4.0	13
29	BENT	1	LEXI ZALK	4	0.666666666667	1	0.166666666667	4.0	0.666666666667	0.0	0.0	6	2013 USAU Club Championships	4.0	13
30	BENT	2	KAREN CHALIF	3	0.5	1	0.166666666667	0.0	0.0	6.0	1.0	6	2013 USAU Club Championships	4.0	13
31	BENT	3	JUDY JARVIS	3	0.5	7	1.16666666667	2.0	0.333333333333	11.0	1.83333333333	6	2013 USAU Club Championships	4.0	13
32	BENT	5	KATHERINE COLE	1	0.166666666667	1	0.166666666667	1.0	0.166666666667	2.0	0.333333333333	6	2013 USAU Club Championships	4.0	13
33	BENT	6	ASHLEY DALY	19	3.16666666667	3	0.5	3.0	0.5	3.0	0.5	6	2013 USAU Club Championships	4.0	13
34	BENT	7	ELIZABETH MIDDLETON	2	0.333333333333	1	0.166666666667	2.0	0.333333333333	5.0	0.833333333333	6	2013 USAU Club Championships	4.0	13
35	BENT	8	MARISA WILSON	2	0.333333333333	0	0.0	0.0	0.0	2.0	0.333333333333	6	2013 USAU Club Championships	4.0	13
36	BENT	12	REBEKAH SOUDER-RUSSO	6	1.0	2	0.333333333333	1.0	0.166666666667	10.0	1.66666666667	6	2013 USAU Club Championships	4.0	13
37	BENT	13	REBECCA TUCKER	5	0.833333333333	14	2.33333333333	1.0	0.166666666667	16.0	2.66666666667	6	2013 USAU Club Championships	4.0	13
38	BENT	14	KERRY BEYRER	2	0.333333333333	2	0.333333333333	0.0	0.0	4.0	0.666666666667	6	2013 USAU Club Championships	4.0	13
39	BENT	15	DIANA DELEO	4	0.666666666667	0	0.0	0.0	0.0	1.0	0.166666666667	6	2013 USAU Club Championships	4.0	13
40	BENT	16	EMILY CHO	0	0.0	2	0.333333333333	1.0	0.166666666667	2.0	0.333333333333	6	2013 USAU Club Championships	4.0	13
41	BENT	17	ANGEL LI	0	0.0	1	0.166666666667	0.0	0.0	1.0	0.166666666667	6	2013 USAU Club Championships	4.0	13
42	BENT	18	KENDRA FREDERICK	3	0.5	3	0.5	4.0	0.666666666667	0.0	0.0	6	2013 USAU Club Championships	4.0	13
43	BENT	19	MEGAN RANDALL	4	0.666666666667	0	0.0	2.0	0.333333333333	2.0	0.333333333333	6	2013 USAU Club Championships	4.0	13
44	BENT	21	CARA BROWN	0	0.0	2	0.333333333333	1.0	0.166666666667	4.0	0.666666666667	6	2013 USAU Club Championships	4.0	13
45	BENT	22	ANNA MEMBRINO	0	0.0	7	1.16666666667	0.0	0.0	6.0	1.0	6	2013 USAU Club Championships	4.0	13
46	BENT	25	EMMA KAHLE	0	0.0	2	0.333333333333	0.0	0.0	0.0	0.0	6	2013 USAU Club Championships	4.0	13
47	BENT	27	AKINA YOUNGE	0	0.0	4	0.666666666667	2.0	0.333333333333	3.0	0.5	6	2013 USAU Club Championships	4.0	13
48	BENT	41	KATIE TALAY	1	0.166666666667	0	0.0	0.0	0.0	1.0	0.166666666667	6	2013 USAU Club Championships	4.0	13
49	BENT	47	ANNE SILVER	1	0.166666666667	0	0.0	1.0	0.166666666667	2.0	0.333333333333	6	2013 USAU Club Championships	4.0	13
50	BENT	71	CASSANDRA WONG	0	0.0	0	0.0	3.0	0.5	4.0	0.666666666667	6	2013 USAU Club Championships	4.0	13
51	BENT	77	MINERVA MUZQUIZ	0	0.0	2	0.333333333333	0.0	0.0	4.0	0.666666666667	6	2013 USAU Club Championships	4.0	13
52	BENT	88	KELLY HYLAND	2	0.333333333333	7	1.16666666667	8.0	1.33333333333	5.0	0.833333333333	6	2013 USAU Club Championships	4.0	13
53	BENT	?	UNKNOWN	1	0.166666666667	1	0.166666666667	0.0	0.0	1.0	0.166666666667	6	2013 USAU Club Championships	4.0	13
54	BRUTE SQUAD	1	KELLY TIDWELL	7	1.16666666667	3	0.5	2.0	0.333333333333	8.0	1.33333333333	6	2013 USAU Club Championships	4.0	2
55	BRUTE SQUAD	2	COURTNEY KIESOW	2	0.333333333333	1	0.166666666667	1.0	0.166666666667	2.0	0.333333333333	6	2013 USAU Club Championships	4.0	2
56	BRUTE SQUAD	3	SARA JACOBI	3	0.5	0	0.0	3.0	0.5	3.0	0.5	6	2013 USAU Club Championships	4.0	2
57	BRUTE SQUAD	4	BETSY CALKINS	0	0.0	0	0.0	0.0	0.0	2.0	0.333333333333	6	2013 USAU Club Championships	4.0	2
58	BRUTE SQUAD	5	BLAKE SPITZ	0	0.0	0	0.0	1.0	0.166666666667	0.0	0.0	6	2013 USAU Club Championships	4.0	2
59	BRUTE SQUAD	6	CLAUDIA TAJIMA	1	0.166666666667	7	1.16666666667	2.0	0.333333333333	8.0	1.33333333333	6	2013 USAU Club Championships	4.0	2
60	BRUTE SQUAD	7	LAUREN NELSON	3	0.5	3	0.5	0.0	0.0	2.0	0.333333333333	6	2013 USAU Club Championships	4.0	2
61	BRUTE SQUAD	9	JULIE MALECEK	6	1.0	1	0.166666666667	0.0	0.0	5.0	0.833333333333	6	2013 USAU Club Championships	4.0	2
62	BRUTE SQUAD	10	AMBER SINICROPE	4	0.666666666667	9	1.5	2.0	0.333333333333	10.0	1.66666666667	6	2013 USAU Club Championships	4.0	2
63	BRUTE SQUAD	11	CHRISTIE KIM	1	0.166666666667	1	0.166666666667	2.0	0.333333333333	1.0	0.166666666667	6	2013 USAU Club Championships	4.0	2
64	BRUTE SQUAD	12	DORY ZIPERSTEIN	0	0.0	1	0.166666666667	0.0	0.0	0.0	0.0	6	2013 USAU Club Championships	4.0	2
65	BRUTE SQUAD	13	BECKY MALINOWSKI	15	2.5	9	1.5	3.0	0.5	4.0	0.666666666667	6	2013 USAU Club Championships	4.0	2
66	BRUTE SQUAD	16	SHELLY PEYTON	1	0.166666666667	5	0.833333333333	0.0	0.0	2.0	0.333333333333	6	2013 USAU Club Championships	4.0	2
67	BRUTE SQUAD	18	LEILA TUNNELL	2	0.333333333333	9	1.5	0.0	0.0	8.0	1.33333333333	6	2013 USAU Club Championships	4.0	2
68	BRUTE SQUAD	19	HAILEY ALM	1	0.166666666667	2	0.333333333333	0.0	0.0	8.0	1.33333333333	6	2013 USAU Club Championships	4.0	2
69	BRUTE SQUAD	20	SARAH COOK	0	0.0	0	0.0	0.0	0.0	1.0	0.166666666667	6	2013 USAU Club Championships	4.0	2
70	BRUTE SQUAD	22	VICKY NEGUS	1	0.166666666667	0	0.0	2.0	0.333333333333	2.0	0.333333333333	6	2013 USAU Club Championships	4.0	2
71	BRUTE SQUAD	23	EMILY BAECHER	1	0.166666666667	4	0.666666666667	1.0	0.166666666667	8.0	1.33333333333	6	2013 USAU Club Championships	4.0	2
72	BRUTE SQUAD	25	SHIRA KLANE	0	0.0	1	0.166666666667	0.0	0.0	0.0	0.0	6	2013 USAU Club Championships	4.0	2
73	BRUTE SQUAD	26	ELANA SCHWAM	5	0.833333333333	1	0.166666666667	0.0	0.0	0.0	0.0	6	2013 USAU Club Championships	4.0	2
74	BRUTE SQUAD	27	LAUREN BAECHER	0	0.0	2	0.333333333333	0.0	0.0	0.0	0.0	6	2013 USAU Club Championships	4.0	2
75	BRUTE SQUAD	29	V.Y. CHOW	6	1.0	9	1.5	0.0	0.0	5.0	0.833333333333	6	2013 USAU Club Championships	4.0	2
76	BRUTE SQUAD	32	MICHAELA FALLON	0	0.0	0	0.0	0.0	0.0	0.0	0.0	6	2013 USAU Club Championships	4.0	2
77	BRUTE SQUAD	33	LAURA BITTERMAN	8	1.33333333333	0	0.0	3.0	0.5	7.0	1.16666666667	6	2013 USAU Club Championships	4.0	2
78	BRUTE SQUAD	44	JACKIE BOOTH	0	0.0	0	0.0	0.0	0.0	2.0	0.333333333333	6	2013 USAU Club Championships	4.0	2
79	BRUTE SQUAD	77	MIA GREENWALD	0	0.0	0	0.0	1.0	0.166666666667	0.0	0.0	6	2013 USAU Club Championships	4.0	2
80	BRUTE SQUAD	?	UNKNOWN	0	0.0	0	0.0	0.0	0.0	0.0	0.0	6	2013 USAU Club Championships	4.0	2
81	CAPITALS	4	SARAH KIDD	10	1.66666666667	2	0.333333333333	2.0	0.333333333333	7.0	1.16666666667	6	2013 USAU Club Championships	3.83	12
82	CAPITALS	5	SONIA KOMENDA	5	0.833333333333	6	1.0	4.0	0.666666666667	13.0	2.16666666667	6	2013 USAU Club Championships	3.83	12
83	CAPITALS	10	KATHRYN POHRAN	3	0.5	4	0.666666666667	2.0	0.333333333333	3.0	0.5	6	2013 USAU Club Championships	3.83	12
84	CAPITALS	12	DARCY DRUMMOND	6	1.0	16	2.66666666667	12.0	2.0	8.0	1.33333333333	6	2013 USAU Club Championships	3.83	12
85	CAPITALS	13	MELISSA DUNBAR	5	0.833333333333	0	0.0	1.0	0.166666666667	5.0	0.833333333333	6	2013 USAU Club Championships	3.83	12
86	CAPITALS	15	JESSIE WU	1	0.166666666667	1	0.166666666667	1.0	0.166666666667	2.0	0.333333333333	6	2013 USAU Club Championships	3.83	12
87	CAPITALS	16	MARTHA PATERSON	6	1.0	2	0.333333333333	4.0	0.666666666667	5.0	0.833333333333	6	2013 USAU Club Championships	3.83	12
88	CAPITALS	17	ALEX BENEDICT	2	0.333333333333	10	1.66666666667	3.0	0.5	6.0	1.0	6	2013 USAU Club Championships	3.83	12
89	CAPITALS	22	SARAH BOBAK	4	0.666666666667	5	0.833333333333	2.0	0.333333333333	7.0	1.16666666667	6	2013 USAU Club Championships	3.83	12
90	CAPITALS	23	MARIE-CHRISTINE JACQUES	0	0.0	1	0.166666666667	0.0	0.0	0.0	0.0	6	2013 USAU Club Championships	3.83	12
91	CAPITALS	24	MICHELLE CHANDLER	0	0.0	1	0.166666666667	0.0	0.0	1.0	0.166666666667	6	2013 USAU Club Championships	3.83	12
